,Index_Name,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
376,BSESN,2019-08-05,36842.171875,36844.050781,36416.789063,36699.839844,36699.839844,25900.0,25900.0,-142.33203,-0.386,36653.5599,"August 05, 19",-0.00386
377,BSESN,2019-08-02,36920.109375,37375.160156,36607.410156,37118.21875,37118.21875,28100.0,28100.0,198.10938,0.537,37033.59635,"August 02, 19",0.005370000000000001
378,BSESN,2019-08-01,37387.179688,37387.179688,36694.179688,37018.320313,37018.320313,21000.0,21000.0,-368.85938,-0.987,37033.22656,"August 01, 19",-0.00987
379,BSESN,2019-07-31,37257.550781,37576.371094,37128.261719,37481.121094,37481.121094,27200.0,27200.0,223.57031,0.6,37395.2513,"July 31, 19",0.006
380,BSESN,2019-07-30,37735.539063,37950.210938,37359.03125,37397.238281,37397.238281,22800.0,22800.0,-338.30078,-0.897,37568.82682,"July 30, 19",-0.00897
381,BSESN,2019-07-29,38043.21875,38043.21875,37519.160156,37686.371094,37686.371094,21100.0,21100.0,-356.84766,-0.938,37749.58333,"July 29, 19",-0.00938
382,BSESN,2019-07-26,37831.179688,37978.070313,37690.46875,37882.789063,37882.789063,24100.0,24100.0,51.60938,0.136,37850.44271,"July 26, 19",0.0013599999999999999
383,BSESN,2019-07-25,37935.019531,38169.871094,37775.511719,37830.980469,37830.980469,18000.0,18000.0,-104.03906,-0.27399999999999997,37925.45443,"July 25, 19",-0.00274
384,BSESN,2019-07-24,37990.230469,38102.839844,37708.410156,37847.648438,37847.648438,16600.0,16600.0,-142.58203,-0.375,37886.29948,"July 24, 19",-0.00375
385,BSESN,2019-07-23,38138.558594,38217.808594,37898.898438,37982.738281,37982.738281,19300.0,19300.0,-155.82031,-0.409,38033.14844,"July 23, 19",-0.00409
386,BSESN,2019-07-22,38333.519531,38333.519531,37890.320313,38031.128906,38031.128906,23000.0,23000.0,-302.39063,-0.789,38084.98958,"July 22, 19",-0.007890000000000001
387,BSESN,2019-07-19,39058.730469,39058.730469,38271.351563,38337.011719,38337.011719,19200.0,19200.0,-721.71875,-1.848,38555.69792,"July 19, 19",-0.01848
388,BSESN,2019-07-18,39204.46875,39204.46875,38861.25,38897.460938,38897.460938,24100.0,24100.0,-307.00781,-0.7829999999999999,38987.72656,"July 18, 19",-0.00783
389,BSESN,2019-07-17,39171.101563,39284.730469,39081.140625,39215.640625,39215.640625,23400.0,23400.0,44.53906,0.114,39193.83724,"July 17, 19",0.00114
390,BSESN,2019-07-16,38961.859375,39173.890625,38845.269531,39131.039063,39131.039063,25100.0,25100.0,169.17969,0.434,39050.06641,"July 16, 19",0.00434
391,BSESN,2019-07-15,39009.949219,39023.96875,38696.601563,38896.710938,38896.710938,18000.0,18000.0,-113.23828,-0.29,38872.42708,"July 15, 19",-0.0029
392,BSESN,2019-07-12,38941.101563,39021.839844,38684.851563,38736.230469,38736.230469,12900.0,12900.0,-204.87109,-0.526,38814.30729,"July 12, 19",-0.00526
393,BSESN,2019-07-11,38751.621094,38892.5,38631.308594,38823.109375,38823.109375,14600.0,14600.0,71.48828,0.184,38782.30599,"July 11, 19",0.0018399999999999998
394,BSESN,2019-07-10,38701.988281,38854.851563,38474.660156,38557.039063,38557.039063,14900.0,14900.0,-144.94922,-0.375,38628.85026,"July 10, 19",-0.00375
395,BSESN,2019-07-09,38754.46875,38814.230469,38435.871094,38730.820313,38730.820313,18800.0,18800.0,-23.64844,-0.061,38660.30729,"July 09, 19",-0.00061
396,BSESN,2019-07-08,39476.378906,39476.378906,38605.480469,38720.570313,38720.570313,22000.0,22000.0,-755.80859,-1.915,38934.14323,"July 08, 19",-0.01915
397,BSESN,2019-07-05,39990.398438,40032.410156,39441.378906,39513.390625,39513.390625,26000.0,26000.0,-477.00781,-1.193,39662.39323,"July 05, 19",-0.01193
398,BSESN,2019-07-04,39917.648438,39979.101563,39858.328125,39908.058594,39908.058594,14500.0,14500.0,-9.58984,-0.024,39915.16276,"July 04, 19",-0.00023999999999999998
399,BSESN,2019-07-03,39907.570313,39934.988281,39732.378906,39839.25,39839.25,13800.0,13800.0,-68.32031,-0.171,39835.53906,"July 03, 19",-0.0017100000000000001
400,BSESN,2019-07-02,39811.679688,39838.488281,39499.191406,39816.480469,39816.480469,14800.0,14800.0,4.80078,0.012,39718.05339,"July 02, 19",0.00011999999999999999
401,BSESN,2019-07-01,39543.730469,39764.820313,39541.089844,39686.5,39686.5,10800.0,10800.0,142.76953,0.361,39664.13672,"July 01, 19",0.00361
402,BSESN,2019-06-28,39630.519531,39675.25,39361.921875,39394.640625,39394.640625,11200.0,11200.0,-235.87891,-0.595,39477.27083,"June 28, 19",-0.00595
403,BSESN,2019-06-27,39633.96875,39817.21875,39510.441406,39586.410156,39586.410156,13200.0,13200.0,-47.55859,-0.12,39638.02344,"June 27, 19",-0.0012
404,BSESN,2019-06-26,39379.128906,39674.21875,39319.640625,39592.078125,39592.078125,15000.0,15000.0,212.94922,0.541,39528.64583,"June 26, 19",0.00541
405,BSESN,2019-06-25,39131.941406,39490.640625,38946.039063,39434.941406,39434.941406,11300.0,11300.0,303.0,0.774,39290.54036,"June 25, 19",0.00774
406,BSESN,2019-06-24,39160.230469,39300.019531,39021.699219,39122.960938,39122.960938,11600.0,11600.0,-37.26953,-0.095,39148.22656,"June 24, 19",-0.00095
407,BSESN,2019-06-21,39608.25,39617.949219,39121.300781,39194.488281,39194.488281,15600.0,15600.0,-413.76172,-1.045,39311.24609,"June 21, 19",-0.01045
408,BSESN,2019-06-20,39042.960938,39638.640625,38933.78125,39601.628906,39601.628906,20100.0,20100.0,558.66797,1.431,39391.35026,"June 20, 19",0.01431
409,BSESN,2019-06-19,39176.558594,39435.800781,38881.050781,39112.738281,39112.738281,18500.0,18500.0,-63.82031,-0.163,39143.19661,"June 19, 19",-0.0016300000000000002
410,BSESN,2019-06-18,39056.980469,39167.828125,38870.960938,39046.339844,39046.339844,17800.0,17800.0,-10.64063,-0.027000000000000003,39028.3763,"June 18, 19",-0.00027
411,BSESN,2019-06-17,39514.359375,39540.421875,38911.488281,38960.789063,38960.789063,12700.0,12700.0,-553.57031,-1.401,39137.56641,"June 17, 19",-0.01401
412,BSESN,2019-06-14,39797.0,39799.898438,39363.449219,39452.070313,39452.070313,20600.0,20600.0,-344.92969,-0.867,39538.47266,"June 14, 19",-0.00867
413,BSESN,2019-06-13,39679.351563,39800.808594,39461.269531,39741.359375,39741.359375,21800.0,21800.0,62.00781,0.156,39667.8125,"June 13, 19",0.00156
414,BSESN,2019-06-12,39974.179688,39982.101563,39623.53125,39756.808594,39756.808594,11700.0,11700.0,-217.37109,-0.544,39787.48047,"June 12, 19",-0.0054399999999999995
415,BSESN,2019-06-11,39900.449219,40066.308594,39760.019531,39950.460938,39950.460938,14200.0,14200.0,50.01172,0.125,39925.59635,"June 11, 19",0.00125
416,BSESN,2019-06-10,39787.328125,39979.480469,39619.96875,39784.519531,39784.519531,16200.0,16200.0,-2.80859,-0.006999999999999999,39794.65625,"June 10, 19",-7e-05
417,BSESN,2019-06-07,39581.769531,39703.101563,39279.46875,39615.898438,39615.898438,14800.0,14800.0,34.12891,0.086,39532.82292,"June 07, 19",0.00086
418,BSESN,2019-06-06,40136.429688,40159.261719,39481.148438,39529.71875,39529.71875,18700.0,18700.0,-606.71094,-1.5119999999999998,39723.3763,"June 06, 19",-0.015119999999999998
419,BSESN,2019-06-04,40196.0,40312.070313,40031.050781,40083.539063,40083.539063,11900.0,11900.0,-112.46094,-0.28,40142.22005,"June 04, 19",-0.0028
420,BSESN,2019-06-03,39806.859375,40308.898438,39711.019531,40267.621094,40267.621094,34600.0,34600.0,460.76172,1.157,40095.84635,"June 03, 19",0.01157
421,BSESN,2019-05-31,39998.910156,40122.339844,39374.238281,39714.199219,39714.199219,17100.0,17100.0,-284.71094,-0.7120000000000001,39736.92578,"May 31, 19",-0.0071200000000000005
422,BSESN,2019-05-30,39580.28125,39911.921875,39500.558594,39831.96875,39831.96875,17500.0,17500.0,251.6875,0.636,39748.14974,"May 30, 19",0.00636
423,BSESN,2019-05-29,39714.269531,39767.929688,39420.5,39502.050781,39502.050781,12800.0,12800.0,-212.21875,-0.534,39563.49349,"May 29, 19",-0.00534
424,BSESN,2019-05-28,39765.640625,39828.648438,39498.648438,39749.730469,39749.730469,15300.0,15300.0,-15.91016,-0.04,39692.34245,"May 28, 19",-0.0004
425,BSESN,2019-05-27,39536.230469,39821.941406,39353.160156,39683.289063,39683.289063,16000.0,16000.0,147.05859,0.37200000000000005,39619.46354,"May 27, 19",0.00372
426,BSESN,2019-05-24,39076.28125,39476.96875,38824.261719,39434.71875,39434.71875,17100.0,17100.0,358.4375,0.917,39245.31641,"May 24, 19",0.009170000000000001
427,BSESN,2019-05-23,39591.769531,40124.960938,38651.609375,38811.390625,38811.390625,28100.0,28100.0,-780.37891,-1.9709999999999999,39195.98698,"May 23, 19",-0.01971
428,BSESN,2019-05-22,39086.210938,39249.078125,38903.871094,39110.210938,39110.210938,15600.0,15600.0,24.0,0.061,39087.72005,"May 22, 19",0.00061
429,BSESN,2019-05-21,39449.449219,39571.730469,38884.851563,38969.800781,38969.800781,22700.0,22700.0,-479.64844,-1.216,39142.1276,"May 21, 19",-0.012159999999999999
430,BSESN,2019-05-20,38701.179688,39412.558594,38570.039063,39352.671875,39352.671875,26400.0,26400.0,651.49219,1.683,39111.75651,"May 20, 19",0.01683
431,BSESN,2019-05-17,37494.421875,38001.128906,37415.359375,37930.769531,37930.769531,18800.0,18800.0,436.34766,1.1640000000000001,37782.41927,"May 17, 19",0.011640000000000001
432,BSESN,2019-05-16,37179.128906,37518.941406,37052.300781,37393.480469,37393.480469,15700.0,15700.0,214.35156,0.5770000000000001,37321.57422,"May 16, 19",0.00577
433,BSESN,2019-05-15,37539.050781,37559.671875,37047.871094,37114.878906,37114.878906,19400.0,19400.0,-424.17188,-1.13,37240.80729,"May 15, 19",-0.0113
434,BSESN,2019-05-14,37146.578125,37572.699219,36956.101563,37318.53125,37318.53125,17700.0,17700.0,171.95313,0.46299999999999997,37282.44401,"May 14, 19",0.00463
435,BSESN,2019-05-13,37491.300781,37583.570313,36999.839844,37090.820313,37090.820313,17800.0,17800.0,-400.48047,-1.068,37224.74349,"May 13, 19",-0.01068
